Place,Coordinates,Time,PIN Code,Region
"Institute Of Science Campus, 17, Devasandra Layout, Bengaluru, Karnataka 560012, India",(13.0226972 - 77.5684412),2024-06-03 09:01:36,560012,Yeshwanthpur
"Institute Of Science Campus, 17, Devasandra Layout, Bengaluru, Karnataka 560012, India",(13.0219517 - 77.568305),2024-06-03 09:04:48,560012,Yeshwanthpur
"Tata Institute, Mathikere, Bengaluru, Karnataka 560012, India",(13.0144167 - 77.56816),2024-06-03 09:07:55,560012,Yeshwanthpur
"2H7C+R97 Indian Institute of Science (Bengaluru), CV Raman Rd, Kodandarampura, Malleshwaram, Bengaluru, Karnataka 560012, India",(13.014375 - 77.5705933),2024-06-03 09:11:00,560012,Yeshwanthpur
"2H7C+2X7, Sankey Tank Trail, Kodandarampura, Malleshwaram, Bengaluru, Karnataka 560080, India",(13.0126383 - 77.5725583),2024-06-03 09:15:06,560080,MG Road
"C Type Uas Quarters, Reserve Bank Of India Colony, 5901, Service Road, RBI Colony, Ganganagar, Bengaluru, Karnataka 560032, India",(13.029401 - 77.5863785),2024-06-03 09:18:05,560032,Rajajinagar
"No 349/1, near old ward office, Bayanna Layout, Hebbal, Bengaluru, Karnataka 560024, India",(13.0395255 - 77.5897884),2024-06-03 09:21:07,560024,Bannerghatta Road
"360, Bellary Rd, behind Bescom Office, Bayanna Layout, Hebbal, Bengaluru, Karnataka 560024, India",(13.039635 - 77.5896533),2024-06-03 09:24:14,560024,Bannerghatta Road
"2JV2+9QX, Service Rd, Nagavara, Bengaluru, Karnataka 560032, India",(13.0433 - 77.6023967),2024-06-03 09:27:20,560032,Rajajinagar
"2JR5+G4M, Jogappa Layout, Nagavara, Bengaluru, Karnataka 560032, India",(13.0418783 - 77.6071416),2024-06-03 09:30:24,560032,Rajajinagar
"#T2, 3RD FLOOR, 4TH BLOCK, JK TOWER, 5th Block, Telecom Layout, HBR Layout, Bengaluru, Karnataka 560043, India",(13.0325451 - 77.6299545),2024-06-03 09:33:23,560043,Indiranagar
"3, Hennur 1st Cross Rd, Meganahalli, Kalyan Nagar, Bengaluru, Karnataka 560043, India",(13.0284733 - 77.6339767),2024-06-03 09:37:12,560043,Indiranagar
"54, Kallumantapa, Horamavu, Bengaluru, Karnataka 560043, India",(13.0180279 - 77.6584842),2024-06-03 09:40:17,560043,Indiranagar
"134/2, Service Rd, Kallumantapa, Horamavu, Bengaluru, Karnataka 560113, India",(13.01731 - 77.659585),2024-06-03 09:43:24,560113,Koramangala
"Service Rd, Kasturi Nagar, Bengaluru, Karnataka 560043, India",(13.0063218 - 77.6627396),2024-06-03 09:46:41,560043,Indiranagar
"124/e, 2nd Main Rd, East of NGEF Layout, Kasturi Nagar, Bengaluru, Karnataka 560043, India",(12.9996233 - 77.6624817),2024-06-03 09:51:10,560043,Indiranagar
"11, Industrial Estate A Reddy, Dooravani Nagar, Bengaluru, Karnataka 560016, India",(12.99814 - 77.6678233),2024-06-03 09:54:15,560016,Indiranagar
"XMW9+XPW, Krishna Reddy Industrial Estate, Dooravani Nagar, Bengaluru, Karnataka 560016, India",(12.9976467 - 77.669275),2024-06-03 09:57:19,560016,Indiranagar
"2M2G+F7H, Krishnarajapuram Rd, Vijinapura, Dooravani Nagar, Bengaluru, Karnataka 560016, India",(13.00117 - 77.6757883),2024-06-03 10:00:26,560016,Indiranagar
"63/1, ITPL Main Rd, Singayyanapalya, Krishnarajapuram, Bengaluru, Karnataka 560036, India",(12.9961655 - 77.6939267),2024-06-03 10:04:33,560036,Yeshwanthpur
"XPV6+39J, ITPL Main Rd, KEB Colony, Industrial Area, Hoodi, Bengaluru, Karnataka 560048, India",(12.9928367 - 77.71076),2024-06-03 10:07:45,560048,Electronic City
"XPR7+QMQ, Hoodi Main Rd, KEB Colony, Industrial Area, Hoodi, Bengaluru, Karnataka 560048, India",(12.9918933 - 77.7143333),2024-06-03 10:10:50,560048,Electronic City
"Gopalan Grandeur, 1/2, Hoodi Main Rd, Hoodi, Bengaluru, Karnataka 560048, India",(12.9919217 - 77.7159033),2024-06-03 10:13:55,560048,Electronic City
"104, Maruthi Nagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9893367 - 77.7241567),2024-06-03 10:17:04,560066,Whitefield Area
"2, Whitefield Main Rd, Thigalarapalya, Whitefield, Bengaluru, Karnataka 560066, India",(12.9887083 - 77.7306583),2024-06-03 10:21:13,560066,Whitefield Area
"Jbr Tech Park, Jbr Tech Park, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9781883 - 77.727825),2024-06-03 10:25:24,560066,Whitefield Area
"T18, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9768487 - 77.7262443),2024-06-03 10:29:38,560066,Whitefield Area
"T18, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9768396 - 77.7262542),2024-06-03 10:32:42,560066,Whitefield Area
"Itpl Main Bus Station, Itpl Main Bus Station, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9770083 - 77.72651),2024-06-03 10:35:47,560066,Whitefield Area
"Itpl Main Bus Station, Itpl Main Bus Station, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9770083 - 77.72651),2024-06-03 10:38:47,560066,Whitefield Area
"XPGG+PMP, Rd Number 2, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.976841 - 77.7266488),2024-06-03 10:42:51,560066,Whitefield Area
"XPGG+PMP, Rd Number 2, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.976831 - 77.7265349),2024-06-03 10:46:48,560066,Whitefield Area
"TATA CONSULTANCY SERVICES-1, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.977735 - 77.7271823),2024-06-03 10:49:43,560066,Whitefield Area
"TATA CONSULTANCY SERVICES-1, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9776983 - 77.7272),2024-06-03 10:52:26,560066,Whitefield Area
"TATA CONSULTANCY SERVICES-1, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9776488 - 77.7271396),2024-06-03 10:55:08,560066,Whitefield Area
"TATA CONSULTANCY SERVICES-1, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.977644 - 77.7271357),2024-06-03 10:57:52,560066,Whitefield Area
"TATA CONSULTANCY SERVICES-1, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9776413 - 77.7271337),2024-06-03 11:00:35,560066,Whitefield Area
"TATA CONSULTANCY SERVICES-1, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9777733 - 77.727165),2024-06-03 11:03:18,560066,Whitefield Area
"TATA CONSULTANCY SERVICES-1, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9777733 - 77.727165),2024-06-03 11:06:00,560066,Whitefield Area
"TATA CONSULTANCY SERVICES-1, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9777817 - 77.7271417),2024-06-03 11:08:43,560066,Whitefield Area
"TATA CONSULTANCY SERVICES-1, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.97774 - 77.727175),2024-06-03 11:11:26,560066,Whitefield Area
"TATA CONSULTANCY SERVICES-1, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.977745 - 77.7271583),2024-06-03 11:14:09,560066,Whitefield Area
"L-Center, Vydehi RC-1 Block, EPIP Industrial Area, 82, 6th Rd, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9779467 - 77.7273017),2024-06-03 11:16:51,560066,Whitefield Area
"Vydehi Circle, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9770167 - 77.7272833),2024-06-03 11:19:34,560066,Whitefield Area
"#82, Nallurahalli Main Rd, near BMTC 18th Depot, Vijayanagar, Nallurhalli, Whitefield, Bengaluru, Karnataka 560066, India",(12.975915 - 77.729425),2024-06-03 11:22:17,560066,Whitefield Area
"95, Export Promotion Industrial Park, opposite Vahedhi Hospital, Vijayanagar, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066, India",(12.9759646 - 77.72729),2024-06-03 11:25:00,560066,Whitefield Area
"357, Nallurhalli, Whitefield, Bengaluru, Karnataka 560066, India",(12.967035 - 77.7308971),2024-06-03 11:27:43,560066,Whitefield Area
"8, Varthur Main Rd, near Bus stop, Palm Meadows, Siddapura, Whitefield, Bengaluru, Karnataka 560066, India",(12.957697 - 77.7315418),2024-06-03 11:30:26,560066,Whitefield Area
"699-1, Adarsh Palm Meadows Rd, Phase 1, Ramagondanahalli, Whitefield, Bengaluru, Karnataka 560066, India",(12.957065 - 77.7389619),2024-06-03 11:33:08,560066,Whitefield Area
"SH 35, Whitefield Main Rd, Varthur, Bengaluru, Karnataka 560087, India",(12.9535353 - 77.7445179),2024-06-03 11:35:51,560087,Whitefield Area
"WPWW+GPV, SH 35, Devasthanagalu, Varthur, Bengaluru, Karnataka 560087, India",(12.9462917 - 77.74686),2024-06-03 11:38:34,560087,Whitefield Area
"WPWW+GPV, SH 35, Devasthanagalu, Varthur, Bengaluru, Karnataka 560087, India",(12.9458121 - 77.7471347),2024-06-03 11:41:17,560087,Whitefield Area
"1, Devasthanagalu, Varthur, Bengaluru, Karnataka 560087, India",(12.9445433 - 77.7471083),2024-06-03 11:44:00,560087,Whitefield Area
"9, 9/1, near CANARA BANK - BENGALURU VARTHUR, Varthur, Bengaluru, Karnataka 560087, India",(12.9431433 - 77.7470917),2024-06-03 11:46:43,560087,Whitefield Area
"WPQW+HXX, Varthur, Bengaluru, Karnataka 560087, India",(12.9390951 - 77.7474768),2024-06-03 11:50:20,560087,Whitefield Area
"WPMV+M99, Varthur, Bengaluru, Karnataka 560087, India",(12.9342342 - 77.7433878),2024-06-03 11:53:03,560087,Whitefield Area
"SH35, Gunjur Village, Bengaluru, Karnataka 560087, India",(12.9270629 - 77.7383421),2024-06-03 11:55:46,560087,Whitefield Area
"57/1, Gunjur Rd, Kachamaranahalli, Bengaluru, Karnataka 560087, India",(12.9174658 - 77.7343132),2024-06-03 11:59:23,560087,Whitefield Area
"WP4J+X43, Kachamaranahalli, Bengaluru, Karnataka 560087, India",(12.9078033 - 77.7296782),2024-06-03 12:02:06,560087,Whitefield Area
"Mulluru, Bengaluru, Karnataka 560087, India",(12.9042917 - 77.72464),2024-06-03 12:05:43,560087,Whitefield Area
"Mulluru, Bengaluru, Karnataka 560087, India",(12.9042917 - 77.72464),2024-06-03 12:08:26,560087,Whitefield Area
"Mulluru, Bengaluru, Karnataka 560087, India",(12.9042917 - 77.72464),2024-06-03 12:11:09,560087,Whitefield Area
"Mulluru, Bengaluru, Karnataka 560087, India",(12.9042917 - 77.72464),2024-06-03 12:13:52,560087,Whitefield Area
"Mulluru, Bengaluru, Karnataka 560087, India",(12.9042917 - 77.72464),2024-06-03 12:16:35,560087,Whitefield Area
"104, Mullur, Bengaluru, Karnataka 560087, India",(12.903285 - 77.7244067),2024-06-03 12:19:18,560087,Whitefield Area
"88, Mullur Rd, Mullur, Bengaluru, Karnataka 560087, India",(12.9008567 - 77.72332),2024-06-03 12:22:01,560087,Whitefield Area
"88, Mullur Rd, Mullur, Bengaluru, Karnataka 560087, India",(12.9008567 - 77.72332),2024-06-03 12:24:43,560087,Whitefield Area
"88, Mullur Rd, Mullur, Bengaluru, Karnataka 560087, India",(12.9008567 - 77.72332),2024-06-03 12:27:27,560087,Whitefield Area
"88, Mullur Rd, Mullur, Bengaluru, Karnataka 560087, India",(12.9008567 - 77.72332),2024-06-03 12:30:10,560087,Whitefield Area
"88, Mullur Rd, Mullur, Bengaluru, Karnataka 560087, India",(12.9008567 - 77.72332),2024-06-03 12:32:53,560087,Whitefield Area
"88, Mullur Rd, Mullur, Bengaluru, Karnataka 560087, India",(12.9008567 - 77.72332),2024-06-03 12:35:36,560087,Whitefield Area
"88, Mullur Rd, Mullur, Bengaluru, Karnataka 560087, India",(12.9008567 - 77.72332),2024-06-03 12:38:19,560087,Whitefield Area
"88, Mullur Rd, Mullur, Bengaluru, Karnataka 560087, India",(12.9008567 - 77.72332),2024-06-03 12:41:01,560087,Whitefield Area
"88, Mullur Rd, Mullur, Bengaluru, Karnataka 560087, India",(12.9008567 - 77.72332),2024-06-03 12:43:44,560087,Whitefield Area
"88, Mullur Rd, Mullur, Bengaluru, Karnataka 560087, India",(12.9008567 - 77.72332),2024-06-03 12:46:27,560087,Whitefield Area
"88, Mullur Rd, Mullur, Bengaluru, Karnataka 560087, India",(12.9008567 - 77.72332),2024-06-03 12:49:10,560087,Whitefield Area
"88, Mullur Rd, Mullur, Bengaluru, Karnataka 560087, India",(12.9008567 - 77.72332),2024-06-03 12:51:52,560087,Whitefield Area
"WP2F+2C8, 1st Main Rd, near government school, Mullur, Bengaluru, Karnataka 560035, India",(12.9002104 - 77.7235963),2024-06-03 12:55:38,560035,Electronic City
"88, Mullur Rd, Mullur, Bengaluru, Karnataka 560087, India",(12.9008483 - 77.72329),2024-06-03 12:58:48,560087,Whitefield Area
"88, Mullur Rd, Mullur, Bengaluru, Karnataka 560087, India",(12.9008147 - 77.72326),2024-06-03 13:01:31,560087,Whitefield Area
"WP2C+VX9, Bengaluru, Karnataka 560087, India",(12.90191 - 77.72247),2024-06-03 13:04:14,560087,Whitefield Area
"WP2C+RV4, Bengaluru, Karnataka 560087, India",(12.902005 - 77.7224467),2024-06-03 13:06:57,560087,Whitefield Area
"104, Mullur, Bengaluru, Karnataka 560087, India",(12.9029449 - 77.7243039),2024-06-03 13:09:39,560087,Whitefield Area
"Unnamed Road, Mullur, Bengaluru, Karnataka 560087, India",(12.9070567 - 77.7239533),2024-06-03 13:12:22,560087,Whitefield Area
"WP69+34, Bengaluru, Karnataka 560087, India",(12.909838 - 77.7185416),2024-06-03 13:15:05,560087,Whitefield Area
"3, Gunjur-Doddakannelli Rd, Chikkabellandur, Bengaluru, Karnataka 560087, India",(12.9157723 - 77.7182308),2024-06-03 13:17:48,560087,Whitefield Area
"WP9G+G3H, Gunjur Palya Rd, Gunjur Palya, Bengaluru, Karnataka 560087, India",(12.9186074 - 77.7252321),2024-06-03 13:20:31,560087,Whitefield Area
"181, Gunjur Palya Rd, Gunjur Village, Bengaluru, Karnataka 560087, India",(12.9258305 - 77.7164026),2024-06-03 13:23:14,560087,Whitefield Area
"44/10, Balagere Rd, Balagere, Bengaluru, Bellandur Amanikere, Karnataka 560087, India",(12.9394773 - 77.7178402),2024-06-03 13:25:57,560087,Whitefield Area
"Thubaralli main road, near Vibgyor High School Road, Whitefield, Thubarahalli, Munnekollal, XP28+FXV, Silver Springs Layout, Whitefield, Bengaluru, Karnataka 560066, India",(12.951345 - 77.717475),2024-06-03 13:30:28,560066,Whitefield Area
", Kundalahalli Gate, 70, Vibgyor High School Rd, Kumarapalli, Thubarahalli, Whitefield, Bengaluru, Karnataka 560066, India",(12.9548494 - 77.717371),2024-06-03 13:33:11,560066,Whitefield Area
"43/2, VMR Complex, gate signal, Varthur Main Rd, Kundalahalli, Marathahalli, Bengaluru, Karnataka 560066, India",(12.9557017 - 77.715055),2024-06-03 13:35:54,560066,Whitefield Area
"XP49+6GW, Varthur Main Rd, Kumarapalli, Thubarahalli, Brookefield, Bengaluru, Karnataka 560066, India",(12.955798 - 77.7187738),2024-06-03 13:38:37,560066,Whitefield Area
"XP4H+FXC, Brookefield, Bengaluru, Karnataka 560066, India",(12.9561313 - 77.7299829),2024-06-03 13:42:14,560066,Whitefield Area
"XP7J+CQX, New Temple Rd, Nallurhalli, Whitefield, Bengaluru, Karnataka 560066, India",(12.9635788 - 77.7319062),2024-06-03 13:44:57,560066,Whitefield Area
"XP7J+FMF, New Temple Rd, Nallurhalli, Whitefield, Bengaluru, Karnataka 560066, India",(12.9636583 - 77.7314083),2024-06-03 13:47:40,560066,Whitefield Area
"357, Nallurhalli, Whitefield, Bengaluru, Karnataka 560066, India",(12.967063 - 77.7308838),2024-06-03 13:50:22,560066,Whitefield Area
"Vydehi Signal, Vijayanagar, Nallurhalli, Whitefield, Bengaluru, Karnataka 560066, India",(12.9745903 - 77.7270152),2024-06-03 13:53:05,560066,Whitefield Area
"Ktpo, Rd Number 2, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9768793 - 77.721964),2024-06-03 13:55:48,560066,Whitefield Area
"XPJF+432, Rd Number 7, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9803847 - 77.7227228),2024-06-03 13:58:31,560066,Whitefield Area
"XPJF+432, Rd Number 7, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9803383 - 77.7231383),2024-06-03 14:01:14,560066,Whitefield Area
"XPJF+432, Rd Number 7, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9803383 - 77.7231383),2024-06-03 14:03:57,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9811826 - 77.7230841),2024-06-03 14:08:46,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9808033 - 77.72332),2024-06-03 14:11:55,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.980755 - 77.7233217),2024-06-03 14:15:02,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9807859 - 77.7234985),2024-06-03 14:18:08,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9809601 - 77.7233157),2024-06-03 14:22:16,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9811615 - 77.7230308),2024-06-03 14:26:11,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9811734 - 77.7230291),2024-06-03 14:29:16,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9811757 - 77.7230322),2024-06-03 14:32:27,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9811775 - 77.7230404),2024-06-03 14:35:42,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9810004 - 77.7231849),2024-06-03 14:41:10,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9811522 - 77.7230633),2024-06-03 14:45:40,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9810142 - 77.7231331),2024-06-03 14:50:09,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9810336 - 77.723081),2024-06-03 14:54:38,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9807467 - 77.723165),2024-06-03 14:58:16,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9810333 - 77.7230796),2024-06-03 15:01:38,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9810144 - 77.7231215),2024-06-03 15:05:38,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9810428 - 77.7231375),2024-06-03 15:08:39,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9810299 - 77.723102),2024-06-03 15:13:10,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9810098 - 77.7231996),2024-06-03 15:16:39,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9810852 - 77.7231157),2024-06-03 15:20:40,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9807983 - 77.7230983),2024-06-03 15:25:12,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9811003 - 77.7230676),2024-06-03 15:31:11,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9808067 - 77.7230767),2024-06-03 15:34:41,560066,Whitefield Area
"XPJF+432, Rd Number 7, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.98046 - 77.723115),2024-06-03 15:38:05,560066,Whitefield Area
"XPJF+432, Rd Number 7, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.980415 - 77.7231617),2024-06-03 15:41:20,560066,Whitefield Area
"TOWER-2, GENISYS NOVOZYMES TOASTMASTERS CLUB, Rd Number 5, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9784024 - 77.7217796),2024-06-03 15:44:35,560066,Whitefield Area
"XPJF+5G9, Rd Number 7, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9802713 - 77.7239259),2024-06-03 15:48:07,560066,Whitefield Area
"XPJF+432, Rd Number 7, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9803717 - 77.7231267),2024-06-03 15:51:34,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9807483 - 77.7230967),2024-06-03 15:54:48,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9811768 - 77.7230372),2024-06-03 15:59:03,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9807533 - 77.7230617),2024-06-03 16:02:21,560066,Whitefield Area
"XPJF+5G9, Rd Number 7, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9802713 - 77.7239259),2024-06-03 16:05:40,560066,Whitefield Area
"Genisys Transport Room, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560006, India",(12.980305 - 77.7231267),2024-06-03 16:09:05,560006,Koramangala
"XPJF+5G9, Rd Number 7, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9802713 - 77.7239259),2024-06-03 16:12:18,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9811452 - 77.7231378),2024-06-03 16:15:35,560066,Whitefield Area
"XPJF+432, Rd Number 7, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9804417 - 77.7231783),2024-06-03 16:18:46,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9809518 - 77.7232986),2024-06-03 16:21:53,560066,Whitefield Area
"XPJF+C7V L & T INFOTECH, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.980745 - 77.7231383),2024-06-03 16:24:59,560066,Whitefield Area
"56, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9776245 - 77.7235871),2024-06-03 16:28:02,560066,Whitefield Area
"XPGG+PMP, Rd Number 2, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9768387 - 77.726655),2024-06-03 16:31:11,560066,Whitefield Area
"XPGG+HMP, Rd Number 2, Vijayanagar, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066, India",(12.9765433 - 77.7261633),2024-06-03 16:39:09,560066,Whitefield Area
"L-Center, Vydehi RC-1 Block, EPIP Industrial Area, 82, 6th Rd, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9778367 - 77.7275867),2024-06-03 16:43:20,560066,Whitefield Area
"77, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9777978 - 77.7277528),2024-06-03 16:46:23,560066,Whitefield Area
"77, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9778413 - 77.7277789),2024-06-03 16:49:28,560066,Whitefield Area
"L-Center, Vydehi RC-1 Block, EPIP Industrial Area, 82, 6th Rd, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9778317 - 77.72758),2024-06-03 16:52:34,560066,Whitefield Area
"77, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9779677 - 77.7277679),2024-06-03 16:56:39,560066,Whitefield Area
"L-Center, Vydehi RC-1 Block, EPIP Industrial Area, 82, 6th Rd, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.97789 - 77.727515),2024-06-03 16:59:44,560066,Whitefield Area
"77, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.977876 - 77.7277366),2024-06-03 17:02:48,560066,Whitefield Area
"77, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9779143 - 77.7277938),2024-06-03 17:05:50,560066,Whitefield Area
"77, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9779595 - 77.727767),2024-06-03 17:08:57,560066,Whitefield Area
"77, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9779367 - 77.7277425),2024-06-03 17:12:03,560066,Whitefield Area
"L-Center, Vydehi RC-1 Block, EPIP Industrial Area, 82, 6th Rd, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9779733 - 77.7277816),2024-06-03 17:15:08,560066,Whitefield Area
