Place,Coordinates,Time,PIN Code,Region
"Thanisandra Petrol Bunk Bus Stop, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",(13.0444771 - 77.6265232),2024-06-03 10:43:21,560045,Indiranagar
"Thanisandra Petrol Bunk Bus Stop, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",(13.04457 - 77.62642),2024-06-03 10:46:04,560045,Indiranagar
"Thanisandra Petrol Bunk Bus Stop, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",(13.0444316 - 77.6265815),2024-06-03 10:50:42,560045,Indiranagar
"Thanisandra Petrol Bunk Bus Stop, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",(13.0444519 - 77.6266446),2024-06-03 10:55:05,560045,Indiranagar
"132, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560077, India",(13.0447582 - 77.6265099),2024-06-03 10:59:35,560077,Hebbal
"Thanisandra Petrol Bunk Bus Stop, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",(13.0445028 - 77.6266053),2024-06-03 11:04:34,560045,Indiranagar
"132, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560077, India",(13.0446246 - 77.626483),2024-06-03 11:08:36,560077,Hebbal
"Thanisandra Petrol Bunk Bus Stop, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",(13.0445542 - 77.6264543),2024-06-03 11:13:54,560045,Indiranagar
"132, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560077, India",(13.0446707 - 77.6265781),2024-06-03 11:16:54,560077,Hebbal
"135/2, 5th Block, Ashwath Nagar, HBR Layout, Bengaluru, Karnataka 560043, India",(13.0443666 - 77.6268252),2024-06-03 11:22:28,560043,Indiranagar
"Thanisandra Petrol Bunk Bus Stop, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",(13.0445121 - 77.6265956),2024-06-03 11:27:25,560045,Indiranagar
"Thanisandra Petrol Bunk Bus Stop, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",(13.0445168 - 77.6265983),2024-06-03 11:30:58,560045,Indiranagar
"Thanisandra Petrol Bunk Bus Stop, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",(13.0444946 - 77.6265427),2024-06-03 11:36:23,560045,Indiranagar
"Thanisandra Petrol Bunk Bus Stop, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",(13.0444398 - 77.6265988),2024-06-03 11:41:04,560045,Indiranagar
"Thanisandra Petrol Bunk Bus Stop, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",(13.0443902 - 77.6265376),2024-06-03 11:46:33,560045,Indiranagar
"135/2, 5th Block, Ashwath Nagar, HBR Layout, Bengaluru, Karnataka 560043, India",(13.0444286 - 77.6266948),2024-06-03 11:51:39,560043,Indiranagar
"Thanisandra Petrol Bunk Bus Stop, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",(13.0444309 - 77.6264166),2024-06-03 11:56:27,560045,Indiranagar
"132, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560077, India",(13.0446171 - 77.6265413),2024-06-03 12:01:30,560077,Hebbal
"Thanisandra Petrol Bunk Bus Stop, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",(13.0445483 - 77.6265233),2024-06-03 12:06:29,560045,Indiranagar
"Thanisandra Petrol Bunk Bus Stop, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",(13.0444987 - 77.6264682),2024-06-03 12:10:17,560045,Indiranagar
"Thanisandra Petrol Bunk Bus Stop, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",(13.0445518 - 77.6266185),2024-06-03 12:15:49,560045,Indiranagar
"Thanisandra Petrol Bunk Bus Stop, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",(13.0444879 - 77.6264279),2024-06-03 12:21:15,560045,Indiranagar
"Thanisandra Petrol Bunk Bus Stop, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",(13.0446367 - 77.6263967),2024-06-03 12:26:15,560045,Indiranagar
"132, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560077, India",(13.0447193 - 77.6265472),2024-06-03 12:31:21,560077,Hebbal
"132, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560077, India",(13.0446396 - 77.6265702),2024-06-03 12:36:46,560077,Hebbal
"Thanisandra Petrol Bunk Bus Stop, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",(13.0445562 - 77.6265307),2024-06-03 12:42:05,560045,Indiranagar
"132, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560077, India",(13.044669 - 77.6266347),2024-06-03 12:47:17,560077,Hebbal
"2JVG+RPH, 5th Block, Ashwath Nagar, HBR Layout, Bengaluru, Karnataka 560045, India",(13.0446329 - 77.6267667),2024-06-03 12:52:43,560045,Indiranagar
"132, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560077, India",(13.0446717 - 77.6265788),2024-06-03 12:57:30,560077,Hebbal
"135/2, 5th Block, Ashwath Nagar, HBR Layout, Bengaluru, Karnataka 560043, India",(13.0444008 - 77.6266975),2024-06-03 13:02:55,560043,Indiranagar
"Nagavara , elements mall, 4th Floor, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",(13.0451167 - 77.6267083),2024-06-03 13:07:49,560045,Indiranagar
"651, Garment Sara Palya Main Rd, Ashwath Nagar, HBR Layout, Bengaluru, Karnataka 560045, India",(13.0457417 - 77.6276565),2024-06-03 13:12:06,560045,Indiranagar
"2JWH+J74, Ashwath Nagar, HBR Layout, Bengaluru, Karnataka 560077, India",(13.0464925 - 77.628305),2024-06-03 13:16:36,560077,Hebbal
"9, Thanisandra Main Rd, Bharath Nagar, Manayata Tech Park, Thanisandra, Bengaluru, Karnataka 560024, India",(13.0465505 - 77.6280136),2024-06-03 13:20:56,560024,Bannerghatta Road
"2JWH+G6G, Ashwath Nagar, Sinthan Nagar, Bengaluru, Karnataka 560045, India",(13.0463572 - 77.6280641),2024-06-03 13:23:53,560045,Indiranagar
"ceiling impex 435/A thannisandra main road saraiplya, Manayata Tech Park, Thanisandra, Bengaluru, Karnataka 560077, India",(13.0468983 - 77.627565),2024-06-03 13:27:44,560077,Hebbal
"132, Thanisandra Main Rd, 5th Block, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560077, India",(13.0445962 - 77.6265121),2024-06-03 13:30:27,560077,Hebbal
"Jn of Nagavara, 5th Block, Ashwath Nagar, HBR Layout, Bengaluru, Karnataka 560045, India",(13.04068 - 77.6245467),2024-06-03 13:33:09,560045,Indiranagar
"1873, Service Rd, Brindavan Nagar, HBR Layout, Bengaluru, Karnataka 560043, India",(13.0372717 - 77.6271819),2024-06-03 13:35:52,560043,Indiranagar
"1016, Block 4, HBR Layout, Bengaluru, Karnataka 560043, India",(13.0310718 - 77.6306421),2024-06-03 13:38:34,560043,Indiranagar
"2JGR+854, Chelekere Main Rd, near ginger green bar, Chelekare, Kalyan Nagar, Bengaluru, Karnataka 560043, India",(13.0256769 - 77.6403504),2024-06-03 13:41:16,560043,Indiranagar
"Horamavu, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043, India",(13.0195468 - 77.6544339),2024-06-03 13:43:58,560043,Indiranagar
"55, Kallumantapa, Horamavu, Bengaluru, Karnataka 560043, India",(13.0176138 - 77.6590412),2024-06-03 13:46:41,560043,Indiranagar
